,same_affordance_type,same_data_type,same_enum,same_properties,weak_equal,strong_equal,src_affordance_type,src_attribute_type,dest_affordance_type,dest_attribute_type
0,True,True,True,True,True,True,property,string,property,string
1,True,True,True,True,True,True,property,string,property,string
2,True,True,True,True,True,True,property,string,property,string
3,True,True,True,True,True,True,property,string,property,string
4,True,True,True,True,True,True,property,string,property,string
5,True,True,True,True,True,True,action,string,action,string
6,True,True,True,True,True,True,action,string,action,string
7,True,True,True,True,True,True,action,string,action,string
8,True,True,True,True,True,True,action,string,action,string
9,True,True,True,True,True,True,action,string,action,string
10,True,True,True,True,True,True,property,string,property,string
11,True,True,True,True,True,True,property,string,property,string
12,True,True,True,True,True,True,property,string,property,string
13,True,True,True,True,True,True,property,string,property,string
14,True,True,True,True,True,True,property,string,property,string
15,True,True,True,True,True,True,property,string,property,string
16,True,True,True,True,True,True,property,string,property,string
17,True,True,True,True,True,True,property,string,property,string
18,True,True,True,True,True,True,property,string,property,string
19,True,True,True,True,True,True,property,string,property,string
20,True,True,True,True,True,True,property,string,property,string
21,True,True,True,True,True,True,property,string,property,string
22,True,True,True,True,True,True,property,string,property,string
23,True,True,True,True,True,True,property,string,property,string
24,True,True,True,True,True,True,property,string,property,string
25,True,True,True,True,True,True,event,null,event,null
26,True,True,True,True,True,True,event,null,event,null
27,True,True,True,True,True,True,event,null,event,null
28,True,True,True,True,True,True,event,null,event,null
29,True,True,True,True,True,True,event,null,event,null
30,True,True,True,True,True,True,property,string,property,string
31,True,True,True,True,True,True,property,string,property,string
32,True,True,True,True,True,True,property,string,property,string
33,True,True,True,True,True,True,property,string,property,string
34,True,True,True,True,True,True,property,string,property,string
35,True,True,True,True,True,True,event,integer,event,integer
36,True,True,True,True,True,True,event,integer,event,integer
37,True,True,True,True,True,True,event,integer,event,integer
38,True,True,True,True,True,True,event,integer,event,integer
39,True,True,True,True,True,True,event,integer,event,integer
40,True,True,True,True,True,True,property,string,property,string
41,True,True,True,True,True,True,property,string,property,string
42,True,True,True,True,True,True,property,string,property,string
43,True,True,True,True,True,True,property,string,property,string
44,True,True,True,True,True,True,property,string,property,string
45,True,True,True,True,True,True,property,number,property,number
46,True,True,True,True,True,True,property,number,property,number
47,True,True,True,True,True,True,property,number,property,number
48,True,True,True,True,True,True,property,number,property,number
49,True,True,True,True,True,True,property,number,property,number
50,True,True,True,True,True,True,property,number,property,number
51,True,True,True,True,True,True,property,number,property,number
52,True,True,True,True,True,True,property,number,property,number
53,True,True,True,True,True,True,property,number,property,number
54,True,True,True,True,True,True,property,number,property,number
55,True,True,True,True,True,True,property,number,property,number
56,True,True,True,True,True,True,property,number,property,number
57,True,True,True,True,True,True,property,number,property,number
58,True,True,True,True,True,True,property,number,property,number
59,True,True,True,True,True,True,property,number,property,number
60,True,True,True,True,True,True,property,number,property,number
61,True,True,True,True,True,True,property,number,property,number
62,True,True,True,True,True,True,property,number,property,number
63,True,True,True,True,True,True,property,number,property,number
64,True,True,True,True,True,True,property,number,property,number
65,True,True,True,True,True,True,property,number,property,number
66,True,True,True,True,True,True,property,number,property,number
67,True,True,True,True,True,True,property,number,property,number
68,True,True,True,True,True,True,property,number,property,number
69,True,True,True,True,True,True,property,number,property,number
70,True,True,True,True,True,True,property,number,property,number
71,True,True,True,True,True,True,property,number,property,number
72,True,True,True,True,True,True,property,number,property,number
73,True,True,True,True,True,True,property,number,property,number
74,True,True,True,True,True,True,property,number,property,number
75,True,True,True,True,True,True,event,string,event,string
76,False,True,True,True,True,False,event,string,action,string
77,False,True,True,True,True,False,event,string,action,string
78,False,True,True,True,True,False,event,string,action,string
79,False,True,True,True,True,False,event,string,action,string
80,False,True,True,True,True,False,action,integer,property,integer
81,False,True,True,True,True,False,action,integer,property,integer
82,False,True,True,True,True,False,action,integer,property,integer
83,False,True,True,True,True,False,action,integer,property,integer
84,False,True,True,True,True,False,action,integer,property,integer
85,True,True,True,True,True,True,property,string,property,string
86,True,True,True,True,True,True,property,string,property,string
87,True,True,True,True,True,True,property,string,property,string
88,True,True,True,True,True,True,property,string,property,string
89,True,True,True,True,True,True,property,string,property,string
90,True,True,True,True,True,True,property,object,property,object
91,True,True,True,True,True,True,property,object,property,object
92,True,True,True,True,True,True,property,object,property,object
93,True,True,True,True,True,True,property,object,property,object
94,True,True,True,True,True,True,property,object,property,object
95,True,True,True,True,True,True,property,number,property,number
96,True,True,True,True,True,True,property,number,property,number
97,True,True,True,True,True,True,property,number,property,number
98,True,True,True,True,True,True,property,number,property,number
99,True,True,True,True,True,True,property,number,property,number
100,False,True,True,True,True,False,event,boolean,property,boolean
101,False,True,True,True,True,False,event,boolean,property,boolean
102,False,True,True,True,True,False,event,boolean,property,boolean
103,False,True,True,True,True,False,event,boolean,property,boolean
104,False,True,True,True,True,False,event,boolean,property,boolean
105,False,True,True,True,True,False,action,boolean,property,boolean
106,True,True,True,True,True,True,action,boolean,action,boolean
107,True,True,True,True,True,True,action,boolean,action,boolean
